Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AdGroupId,Ad group ID,adGroupID,Long,True,True,,Attribute,"The ID of the AdGroup.
"
AdGroupName,Ad group,adGroup,String,True,True,,Attribute,"The name of the AdGroup.
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
BenchmarkAverageMaxCpc,Benchmark Max. CPC,benchmarkMaxCPC,Money,True,True,,Metric,"Indicates how other advertisers are bidding on similar products. Not compatible with the field Device on the Product Partition Report.
"
BenchmarkCtr,Benchmark CTR,benchmarkCTR,Double,True,True,,Metric,"Indicates how other advertisers’ Product Listing Ads for similar products are performing based on how often people who see their ad end up clicking on it. Not compatible with the field Device on the Product Partition Report.
"
CampaignId,Campaign ID,campaignID,Long,True,True,,Attribute,"The ID of the Campaign.
"
CampaignName,Campaign,campaign,String,True,True,,Attribute,"The name of the Campaign.
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,
ClickType,Click type,clickType,ClickType,True,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
Predicate values / display values:
URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
"
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,True,,Metric,
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,True,,Metric,
CpcBid,Max. CPC,maxCPC,Money,True,True,,Attribute,
CriteriaDestinationUrl,Keyword/Placement destination URL,keywordPlacementDestinationURL,String,True,True,,Attribute,"In the Destination URL report, this field behaves as a segment.
"
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
Date,Day,day,Date,True,True,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
Device,Device,device,DeviceType,True,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Predicate values / display values:
UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
"
FinalAppUrls,App final URL,appFinalURL,AppUrlList,True,True,,Attribute,
FinalMobileUrls,Mobile final URL,mobileFinalURL,UrlList,True,True,,Attribute,
FinalUrls,Final URL,finalURL,UrlList,True,True,,Attribute,
Id,Criterion ID,criterionID,Long,True,True,,Attribute,
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
IsNegative,Is negative,isNegative,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
Month,Month,month,String,True,True,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
ParentCriterionId,Parent Criterion ID,parentCriterionID,Long,True,True,,Attribute,
PartitionType,Partition Type,partitionType,ProductPartitionType,True,True,"UNKNOWN / Unknown
SUBDIVISION / Subdivision
UNIT / Unit
",Segment,"The partition type of the ProductPartition criterion.
Predicate values / display values:
UNKNOWN / Unknown
SUBDIVISION / Subdivision
UNIT / Unit
"
ProductGroup,Product Group,productGroup,String,True,True,,Attribute,
Quarter,Quarter,quarter,String,True,True,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
SearchImpressionShare,Search Impr. share,searchImprShare,Double,True,True,,Metric,"The impressions you’ve received on the Search Network divided by the estimated number of impressions you were eligible to receive. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the fields ClickType and HourOfDay on any report. Not compatible with the field Device on the Product Partition Report.
"
TrackingUrlTemplate,Tracking template,trackingTemplate,String,True,True,,Attribute,
UrlCustomParameters,Custom parameter,customParameter,CustomParameters,True,True,,Attribute,
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,True,,Metric,"The total value of all conversions divided by the total number of conversions.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,True,,Metric,
Week,Week,week,String,True,True,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,True,,Segment,"The year, formatted as yyyy.
"
