Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,,Attribute,
AccountDescriptiveName,Account,account,String,True,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,True,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupAdDisapprovalReasons,Disapproval reasons,disapprovalReasons,List,True,,Attribute,"List elements are delimited by the semicolon character (;)
"
AdGroupId,Ad group ID,adGroupID,Long,True,,Attribute,
AdGroupName,Ad group,adGroup,String,True,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
AdNetworkType1,Network,network,AdNetworkType1,True,"SEARCH / Search Network
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Search Network
CONTENT / Display Network
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,"SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
"
AdType,Ad type,adType,Type,True,"DEPRECATED_AD / Other
IMAGE_AD / Image ad
MOBILE_AD / Mobile ad
MOBILE_IMAGE_AD / Mobile ad
PRODUCT_AD / Product listing ad
TEMPLATE_AD / Display ad
TEXT_AD / Text ad
THIRD_PARTY_REDIRECT_AD / Third party ad
DYNAMIC_SEARCH_AD / Dynamic search ad
CALL_ONLY_AD / Call only ad
UNKNOWN / unknown
",Attribute,"Predicate values / display values:
DEPRECATED_AD / Other
IMAGE_AD / Image ad
MOBILE_AD / Mobile ad
MOBILE_IMAGE_AD / Mobile ad
PRODUCT_AD / Product listing ad
TEMPLATE_AD / Display ad
TEXT_AD / Text ad
THIRD_PARTY_REDIRECT_AD / Third party ad
DYNAMIC_SEARCH_AD / Dynamic search ad
CALL_ONLY_AD / Call only ad
UNKNOWN / unknown
"
AdvertiserExperimentSegmentationBin,ACE split,aCESplit,AdvertiserExperimentSegmentationBin,True,"OUTSIDE_OF_EXPERIMENT / outside experiment
CONTROL / control
EXPERIMENT / experiment
",Segment,"Predicate values / display values:
OUTSIDE_OF_EXPERIMENT / outside experiment
CONTROL / control
EXPERIMENT / experiment
"
AssistClicks,Assist Clicks,assistClicks,Long,True,,Metric,
AssistImpressions,Assist Impr.,assistImpr,Long,True,,Metric,
AssistImpressionsOverLastClicks,Assist Impr. / Last Clicks,assistImprLastClicks,Double,True,,Metric,
AverageCpc,Avg. CPC,avgCPC,Money,True,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,True,,Metric,
AveragePageviews,Pages / visit,pagesVisit,Double,True,,Metric,
AveragePosition,Avg. position,avgPosition,Double,True,,Metric,
AverageTimeOnSite,Avg. visit duration (seconds),avgVisitDurationSeconds,Double,True,,Metric,
BounceRate,Bounce rate,bounceRate,Double,True,,Metric,
CampaignId,Campaign ID,campaignID,Long,True,,Attribute,
CampaignName,Campaign,campaign,String,True,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
ClickAssistedConversionValue,Click Assisted Conv. Value,clickAssistedConvValue,Double,True,,Metric,
ClickAssistedConversions,Click Assisted Conv.,clickAssistedConv,Long,True,,Metric,
ClickAssistedConversionsOverLastClickConversions,Click Assisted Conv. / Last Click Conv.,clickAssistedConvLastClickConv,Double,True,,Metric,
ClickSignificance,Clicks ACE indicator,clicksACEIndicator,SignificanceData,True,,Metric,
