Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,,Attribute,
AccountDescriptiveName,Account,account,String,True,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,True,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdExtensionId,Ad Extension ID,adExtensionID,Long,True,,Attribute,
AdExtensionType,Ad Extension Type,adExtensionType,AdExtensionType,True,"LOCATION_EXTENSION / location extension
LOCATION_SYNC_EXTENSION / location sync extension
MOBILE_EXTENSION / mobile extension
PRODUCT_EXTENSION / product extension
STORE_LOCATOR_EXTENSION / store locator extension
SITELINKS_EXTENSION / site links extension
DOMAIN_INFO_EXTENSION / domain info extension
UNKNOWN / unknown
",Attribute,"Predicate values / display values:
LOCATION_EXTENSION / location extension
LOCATION_SYNC_EXTENSION / location sync extension
MOBILE_EXTENSION / mobile extension
PRODUCT_EXTENSION / product extension
STORE_LOCATOR_EXTENSION / store locator extension
SITELINKS_EXTENSION / site links extension
DOMAIN_INFO_EXTENSION / domain info extension
UNKNOWN / unknown
"
AdNetworkType1,Network,network,AdNetworkType1,True,"SEARCH / Search Network
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Search Network
CONTENT / Display Network
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,"SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
"
ApprovalStatus,Status,status,ApprovalStatus,True,"APPROVED / eligible
UNCHECKED / eligible
DISAPPROVED / disapproved
",Attribute,"Predicate values / display values:
APPROVED / eligible
UNCHECKED / eligible
DISAPPROVED / disapproved
"
AverageCpc,Avg. CPC,avgCPC,Money,True,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,True,,Metric,
AveragePosition,Avg. position,avgPosition,Double,True,,Metric,
AvgCostForOfflineInteraction,Avg. CPP,avgCPP,Money,True,,Metric,
CampaignId,Campaign ID,campaignID,Long,True,,Attribute,
ClickType,Click type,clickType,ClickType,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
Predicate values / display values:
URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
"
Clicks,Clicks,clicks,Long,True,,Metric,
ConversionRate,Click conversion rate,clickConversionRate,Double,True,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionValue,Total conv. value,totalConvValue,Double,True,,Metric,
Conversions,Converted clicks,convertedClicks,Long,True,,Metric,
ConversionsManyPerClick,Conversions,conversions,Long,True,,Metric,
Cost,Cost,cost,Money,True,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,True,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,,Metric,
Ctr,CTR,ctr,Double,True,,Metric,"Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,True,,Attribute,
Date,Day,day,Date,True,,Segment,
