Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,True,,Attribute,"The currency of the Customer account.
"
AccountDescriptiveName,Account,account,String,True,True,,Attribute,"The descriptive name of the Customer account.
"
AccountTimeZoneId,Time zone,timeZone,String,True,True,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone.
"
ActiveViewCpm,Active View avg. CPM,activeViewAvgCPM,Money,True,True,,Metric,"Average cost of viewable impressions (ActiveViewImpressions).
"
ActiveViewImpressions,Active View viewable impressions,activeViewViewableImpressions,Long,True,True,,Metric,"How often your ad has become viewable on a Display Network site.
"
AdGroupAdDisapprovalReasons,Disapproval reasons,disapprovalReasons,List,True,True,,Attribute,"List of disapproval reasons for the ad.
List elements are delimited by the semicolon character (;)"
AdGroupId,Ad group ID,adGroupID,Long,True,True,,Attribute,"The ID of the AdGroup.
"
AdGroupName,Ad group,adGroup,String,True,True,,Attribute,"The name of the AdGroup.
"
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Status of the ad group.
"
AdNetworkType1,Network,network,AdNetworkType1,True,True,"UNKNOWN / unknown
SEARCH / Search Network
CONTENT / Display Network
",Segment,"First level network type.
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,True,"UNKNOWN / unknown
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Second level network type (includes search partners).
"
AdType,Ad type,adType,Type,True,True,"DEPRECATED_AD / Other
IMAGE_AD / Image ad
PRODUCT_AD / Product listing ad
TEMPLATE_AD / Display ad
TEXT_AD / Text ad
THIRD_PARTY_REDIRECT_AD / Third party ad
DYNAMIC_SEARCH_AD / Dynamic search ad
CALL_ONLY_AD / Call only ad
UNKNOWN / unknown
",Attribute,"The type of the Ad.
"
AdvertiserExperimentSegmentationBin,ACE split,aCESplit,AdvertiserExperimentSegmentationBin,True,True,"OUTSIDE_OF_EXPERIMENT / outside experiment
CONTROL / control
EXPERIMENT / experiment
",Segment,"Experiment group of the impressions.
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
AveragePageviews,Pages / session,pagesSession,Double,True,True,,Metric,"Average number of pages viewed per session. Imported from Google Analytics.
"
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
"
AverageTimeOnSite,Avg. session duration (seconds),avgSessionDurationSeconds,Double,True,True,,Metric,"Total duration of all sessions (in seconds) / number of sessions. Imported from Google Analytics.
"
BounceRate,Bounce rate,bounceRate,Double,True,True,,Metric,"Percentage of clicks where the user only visited a single page on your site, formatted as ""x.xx%"". Imported from Google Analytics.
"
CampaignId,Campaign ID,campaignID,Long,True,True,,Attribute,"The ID of the Campaign.
"
CampaignName,Campaign,campaign,String,True,True,,Attribute,"The name of the Campaign.
"
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"The status of the Campaign.
"
ClickAssistedConversionValue,Click Assisted Conv. Value,clickAssistedConvValue,Double,True,True,,Metric,"The total value of all conversions for which this keyword, ad, ad group, or campaign triggered assist clicks.
"
ClickAssistedConversions,Click Assisted Conv.,clickAssistedConv,Long,True,True,,Metric,"The total number of conversions for which this keyword, ad, ad group, or campaign contributed one or more assist clicks.
"
ClickAssistedConversionsOverLastClickConversions,Click Assisted Conv. / Last Click Conv.,clickAssistedConvLastClickConv,Double,True,True,,Metric,"The total number of conversions for which this keyword, ad, ad group, or campaign received assist clicks divided by the total number of conversions for which it triggered the last click.
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,"The number of converted clicks divided by your total clicks that can be tracked to a conversion. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
"
ClickConversionRateSignificance,Click conversion rate ACE indicator,clickConversionRateACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ClickConversionRate.
"
ClickSignificance,Clicks ACE indicator,clicksACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in Clicks.
"
ClickType,Click type,clickType,ClickType,True,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
"
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ConversionCategoryName,Conversion category,conversionCategory,String,True,False,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionManyPerClickSignificance,Conversion ACE indicator,conversionACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ConversionManyPerClick.
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClickSignificance,Conversion rate ACE indicator,conversionRateACEIndicator,SignificanceData,False,True,,Metric,"Statistical significance of the experiment's change in ConversionRateManyPerClick.
"
ConversionTrackerId,Conversion Tracker Id,conversionTrackerId,Long,True,False,,Segment,"ID of the conversion tracker.
"
ConversionTypeName,Conversion name,conversionName,String,True,False,,Attribute,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,True,,Metric,"The number of clicks that converted within your chosen conversion window.
"
ConvertedClicksSignificance,Converted clicks ACE indicator,convertedClicksACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ConvertedClicks.
"
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,"Total cost divided by your total conversions.
"
CostPerConversionManyPerClickSignificance,Cost/conversion ACE indicator,costConversionACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CostPerConversionManyPerClick.
"
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,True,,Metric,"Cost divided by your total converted clicks.
"
CostPerConvertedClickSignificance,Cost/converted click ACE indicator,costConvertedClickACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CostPerConvertedClick.
"
CostSignificance,Cost ACE indicator,costACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in Cost.
"
CpcSignificance,CPC ACE indicator,cPCACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CPC.
"
CpmSignificance,CPM ACE indicator,cPMACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CPM.
"
CreativeApprovalStatus,Ad Approval Status,adApprovalStatus,ApprovalStatus,True,True,"APPROVED / approved
FAMILY_SAFE / approved
NON_FAMILY_SAFE / approved (non family)
PORN / approved (adult)
UNCHECKED / pending review
DISAPPROVED / disapproved
",Attribute,"Approval status of the ad.
"
CreativeDestinationUrl,Destination URL,destinationURL,String,True,True,,Attribute,"Destination URL of the ad.
"
CreativeFinalAppUrls,App final URL,appFinalURL,List,True,True,,Attribute,"List of final app URLs of the ad.
List elements are delimited by the semicolon character (;)"
CreativeFinalMobileUrls,Mobile final URL,mobileFinalURL,List,True,True,,Attribute,"List of final mobile URLs of the ad.
List elements are delimited by the semicolon character (;)"
CreativeFinalUrls,Final URL,finalURL,List,True,True,,Attribute,"List of final URLs of the ad.
List elements are delimited by the semicolon character (;)"
CreativeTrackingUrlTemplate,Tracking template,trackingTemplate,String,True,True,,Attribute,"Tracking template of the ad.
"
CreativeUrlCustomParameters,Custom parameter,customParameter,CustomParameters,True,True,,Attribute,"List of custom parameters of the ad.
"
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
CtrSignificance,CTR ACE indicator,cTRACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CTR.
"
CustomerDescriptiveName,Client name,clientName,String,True,True,,Attribute,"The descriptive name of the Customer.
"
Date,Day,day,Date,True,True,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
"
Description1,Description line 1,descriptionLine1,String,True,True,,Attribute,"Line 1 description of the Ad.
"
Description2,Description line 2,descriptionLine2,String,True,True,,Attribute,"Line 2 description of the Ad.
"
Device,Device,device,DeviceType,True,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Device type where the impression was shown.
"
DevicePreference,Device preference,devicePreference,Long,True,True,,Attribute,"Platform ID of the device preference. You can look up the corresponding name and other information in the <a href=""https://developers.google.com/adwords/api/docs/appendix/platforms"">Platforms reference</a>.
"
DisplayUrl,Display URL,displayURL,String,True,True,,Attribute,"Display URL of the Ad.
"
ExternalCustomerId,Customer ID,customerID,Long,True,True,,Attribute,"The Customer ID.
"
GmailForwards,Gmail forwards,gmailForwards,Long,True,True,,Metric,"The number of times your ad was forwarded to someone else as a message.
"
GmailSaves,Gmail saves,gmailSaves,Long,True,True,,Metric,"The number of times someone has saved your Gmail ad to their inbox as a message.
"
GmailSecondaryClicks,Gmail clicks to website,gmailClicksToWebsite,Long,True,True,,Metric,"The number of clicks to your landing page on the expanded state of Gmail ads.
"
Headline,Ad,ad,String,True,True,,Attribute,"The ad headline for a TextAd. For other ad types such as TemplateAds, this field will contain a string representation of the key attributes of the ad.
"
Id,Ad ID,adID,Long,True,True,,Attribute,"ID of the main object of this row.
"
ImageAdUrl,Image Ad URL,imageAdURL,String,False,True,,Attribute,"Prefix this value with ""https://tpc.googlesyndication.com/pageadimg/imgad?id="" to get the full URL.
"
ImageCreativeName,Image ad name,imageAdName,String,True,True,,Attribute,"Name for the image ad.
"
ImpressionAssistedConversionValue,Impr. Assisted Conv. Value,imprAssistedConvValue,Double,True,True,,Metric,"Total value of all conversions for which this object triggered assist impressions.
"
ImpressionAssistedConversions,Impr. Assisted Conv.,imprAssistedConv,Long,True,True,,Metric,"Total number of conversions for which this object triggered assist impressions prior to the last click.
"
ImpressionAssistedConversionsOverLastClickConversions,Impr. Assisted Conv. / Last Click Conv.,imprAssistedConvLastClickConv,Double,True,True,,Metric,"Total number of conversions for which this object triggered assist impressions divided by the total number of conversions for which this object triggered the last click.
"
ImpressionSignificance,Impressions ACE indicator,impressionsACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in Impressions.
"
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
IsNegative,Is negative,isNegative,Enum,True,False,"TRUE / true
FALSE / false
",Attribute,"Indicates if the criterion for this row is a negative (exclusion) criterion.
"
KeywordId,Keyword ID,keywordID,Long,True,False,,Segment,"In the Ad Performance Report this field contains the ID of the criterion that triggered the ad, segmenting the report and preventing zero impressions. The ID can be for any type of criterion, including placements, verticals, etc. Cross-reference with the Criteria Report to determine the criteria type and details.
"
LabelIds,Label IDs,labelIDs,List,True,True,,Attribute,"List of label IDs for the main object of this row.
List elements are delimited by the semicolon character (;)"
Labels,Labels,labels,List,True,True,,Attribute,"List of label names for the main object of this row.
List elements are delimited by the semicolon character (;)"
Month,Month,month,String,True,True,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
"
PercentNewVisitors,% new sessions,newSessions,Double,True,True,,Metric,"Percentage of first-time sessions (from people who had never visited your site before), formatted as ""x.xx%"". Imported from Google Analytics.
"
PositionSignificance,Position ACE indicator,positionACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ad position.
"
PrimaryCompanyName,Company name,companyName,String,True,True,,Attribute,"Company name of the account.
"
Quarter,Quarter,quarter,String,True,True,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
SharedSetName,List name,listName,String,True,True,,Attribute,"The name of the SharedSet.
"
Slot,Top vs. Other,topVsOther,Slot,True,True,"SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
",Segment,"The position of the Ad.
"
Status,Ad state,adState,Status,True,True,"ENABLED / enabled
PAUSED / paused
DISABLED / disabled
",Attribute,"The status of the main object in this row. For example, in a Campaign Performance Report this will be the status of each row's Campaign. In an Ad Group Performance Report this will be the status of each row's AdGroup.
"
Trademarks,Trademarks,trademarks,List,False,True,,Attribute,"Trademarks related to this object's approval status.
List elements are delimited by the semicolon character (;)"
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,True,,Metric,"The total value of all conversions divided by the total number of conversions.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,True,,Metric,"The total value of all conversions divided by the total number of converted clicks.
"
ViewThroughConversions,View-through conv.,viewThroughConv,Long,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
ViewThroughConversionsSignificance,View-through conv. ACE indicator,viewThroughConvACEIndicator,SignificanceData,False,True,,Metric,"Statistical significance of the experiment's change in ViewThroughConversions.
"
Week,Week,week,String,True,True,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,True,,Segment,"The year, formatted as yyyy.
"
