Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
Amount,Budget,budget,Money,True,True,,Attribute,"The daily budget. On the Campaign Performance Report this column reflects the entire shared budget if the campaign draws from a shared budget.
"
AssociatedCampaignId,Campaign ID,campaignID,Long,True,True,,Segment,"The ID of a Campaign associated with the Budget.
"
AssociatedCampaignName,Campaign,campaign,String,True,True,,Segment,"The name of a Campaign associated with the Budget.
"
AssociatedCampaignStatus,Campaign state,campaignState,CampaignStatus,True,True,"ENABLED / enabled
PAUSED / paused
REMOVED / removed
UNKNOWN / unknown
",Segment,"The status of a Campaign associated with the Budget.
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
"
BudgetCampaignAssociationStatus,Budget usage,budgetUsage,BudgetCampaignAssociationStatus,True,True,"ENABLED / Enabled
REMOVED / Removed
UNKNOWN / unknown
",Segment,"The status of the association between the Budget and the associated Campaign.
"
BudgetId,Budget ID,budgetID,Long,True,True,,Attribute,"The ID of the Budget.
"
BudgetName,Budget Name,budgetName,String,True,True,,Attribute,"The name of the Budget.
"
BudgetReferenceCount,# Campaigns,campaigns,Integer,False,True,,Attribute,"The number of campaigns actively using the budget.
"
BudgetStatus,Budget state,budgetState,BudgetStatus,True,True,"ENABLED / Enabled
REMOVED / Removed
UNKNOWN / unknown
",Attribute,"The status of the Budget.
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,"The number of converted clicks divided by your total clicks that can be tracked to a conversion. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
"
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,True,,Metric,"The number of clicks that converted within your chosen conversion window.
"
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,"Total cost divided by your total conversions.
"
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,True,,Metric,"Cost divided by your total converted clicks.
"
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
DeliveryMethod,Delivery method,deliveryMethod,BudgetDeliveryMethod,False,True,,Attribute,"Budget delivery method. Determines the rate at which the budget is spent.
"
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
IsBudgetExplicitlyShared,Explicitly shared,explicitlyShared,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Indicates if the budget is a shared budget (true) or specific to the campaign (false).
"
Period,Budget period,budgetPeriod,BudgetPeriod,False,True,,Attribute,"Period over which to spend the budget.
"
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,True,,Metric,"The total value of all conversions divided by the total number of conversions.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,True,,Metric,"The total value of all conversions divided by the total number of converted clicks.
"
ViewThroughConversions,View-through conv.,viewThroughConv,Long,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
